version,rows
1730190972,"{'Name': 'HK express', 'Code': 'UO', 'ICAO': 'HKE'}"
1730190972,"{'Name': ""HNV Cote d'Ivoire"", 'Code': '', 'ICAO': 'HNZ'}"
1730190972,"{'Name': 'Hokkaido Air System', 'Code': '', 'ICAO': 'NTH'}"
1730190972,"{'Name': 'Holiday Europe', 'Code': '5Q', 'ICAO': 'HES'}"
1730190972,"{'Name': 'Hong Kong - Government Flying Service', 'Code': '', 'ICAO': 'GFS'}"
1730190972,"{'Name': 'Hong Kong Air Cargo', 'Code': 'RH', 'ICAO': 'HKC'}"
1730190972,"{'Name': 'Hong Kong Airlines', 'Code': 'HX', 'ICAO': 'CRK'}"
1730190972,"{'Name': 'Hop-A-Jet', 'Code': '', 'ICAO': 'HPJ'}"
1730190972,"{'Name': 'Horizon Air', 'Code': 'QX', 'ICAO': 'QXE'}"
1730190972,"{'Name': 'Hoverfly', 'Code': '', 'ICAO': 'HOV'}"
1730190972,"{'Name': 'HTM Helicopter Travel Munich', 'Code': '', 'ICAO': 'HTM'}"
1730190972,"{'Name': 'Hummingbird Aviation', 'Code': '', 'ICAO': 'ETI'}"
1730190972,"{'Name': 'Hungary - Air Force', 'Code': '', 'ICAO': 'HUF'}"
1730190972,"{'Name': 'Hunnu Air', 'Code': 'MR', 'ICAO': 'MML'}"
1730190972,"{'Name': 'Hydro-Québec', 'Code': '0Q', 'ICAO': 'HYD'}"
1730190972,"{'Name': 'Hyperion Aviation', 'Code': '', 'ICAO': 'HYP'}"
1730190972,"{'Name': 'I-Fly', 'Code': 'F7', 'ICAO': 'RSY'}"
1730190972,"{'Name': 'I-Fly Air', 'Code': '', 'ICAO': 'IFY'}"
1730190972,"{'Name': 'IAS Medical', 'Code': '', 'ICAO': 'MDI'}"
1730190972,"{'Name': 'IASCO Flight Training', 'Code': '', 'ICAO': 'MMY'}"
1730190972,"{'Name': 'IBC Airways', 'Code': 'II', 'ICAO': 'CSQ'}"
1730190972,"{'Name': 'Iberia', 'Code': 'IB', 'ICAO': 'IBE'}"
1730190972,"{'Name': 'Iberia Express', 'Code': 'I2', 'ICAO': 'IBS'}"
1730190972,"{'Name': 'Iberojet', 'Code': 'E9', 'ICAO': 'EVE'}"
1730190972,"{'Name': 'Ibex Airlines', 'Code': 'FW', 'ICAO': 'IBX'}"
1730190972,"{'Name': 'Ibom Air', 'Code': 'QI', 'ICAO': 'IAN'}"
1730190972,"{'Name': 'Icar Air', 'Code': '', 'ICAO': 'RAC'}"
1730190972,"{'Name': 'Iceland - Coast Guard', 'Code': '', 'ICAO': 'ICG'}"
1730190972,"{'Name': 'Icelandair', 'Code': 'FI', 'ICAO': 'ICE'}"
1730190972,"{'Name': 'ICS-Aero', 'Code': '', 'ICAO': 'ICF'}"
1730190972,"{'Name': 'IFA - Instituto de Formacao Aeronautica', 'Code': '', 'ICAO': 'IFJ'}"
1730190972,"{'Name': 'IFL Group', 'Code': '', 'ICAO': 'IFL'}"
1730190972,"{'Name': 'Ikar', 'Code': 'EO', 'ICAO': 'KAR'}"
1730190972,"{'Name': 'Image Air Charter', 'Code': '', 'ICAO': 'BMG'}"
1730190972,"{'Name': 'ImperialJet', 'Code': '', 'ICAO': 'PNK'}"
1730190972,"{'Name': 'ImperialJet', 'Code': '', 'ICAO': 'JTI'}"
1730190972,"{'Name': 'India - Air Force', 'Code': '', 'ICAO': 'IFC'}"
1730190972,"{'Name': 'Indiana State University Flight Academy', 'Code': '', 'ICAO': 'ISU'}"
1730190972,"{'Name': 'IndiaOne Air', 'Code': 'I7', 'ICAO': 'IOA'}"
1730190972,"{'Name': 'IndiGo', 'Code': '6E', 'ICAO': 'IGO'}"
1730190972,"{'Name': 'Indonesia AirAsia', 'Code': 'QZ', 'ICAO': 'AWQ'}"
1730190972,"{'Name': 'Initium Aviation', 'Code': '', 'ICAO': 'INI'}"
1730190972,"{'Name': 'Inner Mongolia Express', 'Code': '', 'ICAO': 'IME'}"
1730190972,"{'Name': 'iNTAIRLINE', 'Code': '', 'ICAO': 'ITI'}"
1730190972,"{'Name': 'Integra Jet', 'Code': '', 'ICAO': 'IJR'}"
1730190972,"{'Name': 'Intel Air Shuttle', 'Code': '', 'ICAO': 'HGT'}"
1730190972,"{'Name': 'InterCaribbean Airways', 'Code': 'JY', 'ICAO': 'IWY'}"
1730190972,"{'Name': 'InterJet West', 'Code': 'K8', 'ICAO': 'IJW'}"
