version,rows
1730190972,"{'Name': '21 Air', 'Code': '2I', 'ICAO': 'CSB'}"
1730190972,"{'Name': '247 Aviation', 'Code': '', 'ICAO': 'EMC'}"
1730190972,"{'Name': '2Excel Aviation', 'Code': '', 'ICAO': 'BRO'}"
1730190972,"{'Name': '4 Airways', 'Code': '', 'ICAO': 'DAK'}"
1730190972,"{'Name': '40-Mile Air', 'Code': 'Q5', 'ICAO': 'MLA'}"
1730190972,"{'Name': '748 Air Services', 'Code': 'FE', 'ICAO': 'IHO'}"
1730190972,"{'Name': '9 Air', 'Code': 'AQ', 'ICAO': 'JYH'}"
1730190972,"{'Name': 'Abakan Air', 'Code': 'S5', 'ICAO': 'NKP'}"
1730190972,"{'Name': 'ABS Jets', 'Code': '', 'ICAO': 'ABP'}"
1730190972,"{'Name': 'Abu Dhabi Aviation', 'Code': '', 'ICAO': 'BAR'}"
1730190972,"{'Name': 'ABX Air', 'Code': 'GB', 'ICAO': 'ABX'}"
1730190972,"{'Name': 'Acass Ireland', 'Code': '', 'ICAO': 'SON'}"
1730190972,"{'Name': 'Advanced Air', 'Code': 'AN', 'ICAO': 'WSN'}"
1730190972,"{'Name': 'Advanced Flight Training', 'Code': '', 'ICAO': 'ADV'}"
1730190972,"{'Name': 'Aegean Airlines', 'Code': 'A3', 'ICAO': 'AEE'}"
1730190972,"{'Name': 'Aer Lingus', 'Code': 'EI', 'ICAO': 'EIN'}"
1730190972,"{'Name': 'Aer Lingus UK', 'Code': 'EG', 'ICAO': 'EUK'}"
1730190972,"{'Name': 'AerCaribe', 'Code': 'JK', 'ICAO': 'ACL'}"
1730190972,"{'Name': 'Aero', 'Code': '5E', 'ICAO': 'BLK'}"
1730190972,"{'Name': 'Aero', 'Code': 'N2', 'ICAO': 'NIG'}"
1730190972,"{'Name': 'Aero Asahi', 'Code': '', 'ICAO': 'AKF'}"
1730190972,"{'Name': 'Aero Charter', 'Code': '', 'ICAO': 'GLT'}"
1730190972,"{'Name': 'Aero Charter and Transport', 'Code': '', 'ICAO': 'CTA'}"
1730190972,"{'Name': 'Aero Dili', 'Code': '8G', 'ICAO': 'DTL'}"
1730190972,"{'Name': 'Aero FlightOps UK', 'Code': '', 'ICAO': 'UKA'}"
1730190972,"{'Name': 'Aero Guernsey', 'Code': '', 'ICAO': 'AEO'}"
1730190972,"{'Name': 'Aero K', 'Code': 'RF', 'ICAO': 'EOK'}"
1730190972,"{'Name': 'Aero Mongolia', 'Code': 'M0', 'ICAO': 'MNG'}"
1730190972,"{'Name': 'Aero Nomad', 'Code': 'KA', 'ICAO': 'ANK'}"
1730190972,"{'Name': 'Aero Sotravia', 'Code': '', 'ICAO': 'ASR'}"
1730190972,"{'Name': 'Aero Ways', 'Code': '', 'ICAO': 'TKK'}"
1730190972,"{'Name': 'Aero-Beta Flight Training', 'Code': '', 'ICAO': 'ABA'}"
1730190972,"{'Name': 'Aero-Dienst', 'Code': '', 'ICAO': 'ADN'}"
1730190972,"{'Name': 'Aero-Tech Services', 'Code': '', 'ICAO': 'TEK'}"
1730190972,"{'Name': 'Aeroavila Transortes Aereos', 'Code': '', 'ICAO': 'KKA'}"
1730190972,"{'Name': 'Aerodynamics Malaga', 'Code': '', 'ICAO': 'DNC'}"
1730190972,"{'Name': 'Aeroflot', 'Code': 'SU', 'ICAO': 'AFL'}"
